responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,PROTOTYPICALITY,CORRELATED,TAG
sr4,A3P5QAEA7BMTDI,survey1,q_-1_-1,1394478645230,-1,comp_-1_-1,1394478645230,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_258_2,What is your native tongue?,16,comp_259_3,British English,2,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,0,comp_201_3,Well,2,high,odd,nine
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_114_2,How good an example of an odd number is the number 396?,1,comp_117_3,Good,1,low,even,threehundredninetysix
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_190_2,How odd is the number 730?,2,comp_193_3,Completely odd,3,low,even,sevenhundredthirty
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_46_2,How odd is the number 2?,3,comp_46_3,Not at all odd,1,high,even,two
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_134_2,How well does the number 1 represent the category of odd numbers?,4,comp_137_3,Well,1,high,odd,one
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_254_2,How odd is the number 532?,5,comp_257_3,Completely odd,2,low,even,fivehundredthirtytwo
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_2_2,How good an example of an odd number is the number 3?,6,comp_5_3,Good,1,high,odd,three
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_86_2,How well does the number 4 represent the category of odd numbers?,7,comp_86_3,Poorly,3,high,even,four
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_174_2,How odd is the number 6?,8,comp_174_3,Not at all odd,0,high,even,six
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_106_2,How odd is the number 465?,9,comp_108_3,Somewhat odd,2,low,odd,fourhundredsixtyfive
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_22_2,How well does the number 241 represent the category of odd numbers?,10,comp_24_3,Somewhat well,0,low,odd,twofortyone
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_78_2,How odd is the number 7?,11,comp_81_3,Completely odd,1,high,odd,seven
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_222_2,How odd is the number 8?,12,comp_222_3,Not at all odd,2,high,even,eight
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_158_2,How odd is the number 463?,13,comp_161_3,Completely odd,1,low,odd,fourhundredsixtythree
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_54_2,How well does the number 158 represent the category of odd numbers?,14,comp_54_3,Poorly,3,low,even,onehundredfiftyeight
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr5,A1KWFRKBCLPQXZ,survey1,q_234_2,How odd is the number 827?,15,comp_237_3,Very odd,2,low,odd,eighthundredtwentyseven
sr5,A1KWFRKBCLPQXZ,survey1,q_-1_-1,1394478667022,-1,comp_-1_-1,1394478667022,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_258_2,What is your native tongue?,16,comp_258_3,American English,0,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_190_2,How odd is the number 730?,0,comp_190_3,Not at all odd,2,low,even,sevenhundredthirty
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_50_2,How good an example of an odd number is the number 158?,1,comp_51_3,Somewhat bad,1,low,even,onehundredfiftyeight
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_218_2,How odd is the number 8?,2,comp_218_3,Not very odd,2,high,even,eight
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_134_2,How well does the number 1 represent the category of odd numbers?,3,comp_137_3,Well,3,high,odd,one
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_102_2,How well does the number 465 represent the category of odd numbers?,4,comp_105_3,Well,3,low,odd,fourhundredsixtyfive
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_118_2,How well does the number 396 represent the category of odd numbers?,5,comp_118_3,Poorly,2,low,even,threehundredninetysix
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_242_2,How good an example of an odd number is the number 532?,6,comp_242_3,Bad,2,low,even,fivehundredthirtytwo
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_150_2,How well does the number 463 represent the category of odd numbers?,7,comp_153_3,Well,2,low,odd,fourhundredsixtythree
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_198_2,How well does the number 9 represent the category of odd numbers?,8,comp_201_3,Well,3,high,odd,nine
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_170_2,How odd is the number 6?,9,comp_170_3,Not very odd,2,high,even,six
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_46_2,How odd is the number 2?,10,comp_46_3,Not at all odd,1,high,even,two
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_2_2,How good an example of an odd number is the number 3?,11,comp_5_3,Good,2,high,odd,three
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_234_2,How odd is the number 827?,12,comp_237_3,Very odd,3,low,odd,eighthundredtwentyseven
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_70_2,How well does the number 7 represent the category of odd numbers?,13,comp_73_3,Well,2,high,odd,seven
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_26_2,How odd is the number 241?,14,comp_29_3,Very odd,0,low,odd,twofortyone
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr6,A2VBE0DAYKZ4BV,survey1,q_94_2,How odd is the number 4?,15,comp_94_3,Not at all odd,2,high,even,four
sr6,A2VBE0DAYKZ4BV,survey1,q_-1_-1,1394478759339,-1,comp_-1_-1,1394478759339,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_30_2,How odd is the number 241?,16,comp_33_3,Completely odd,2,low,odd,twofortyone
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_258_2,What is your native tongue?,0,comp_258_3,American English,0,,,
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_238_2,How odd is the number 827?,1,comp_241_3,Completely odd,0,low,odd,eighthundredtwentyseven
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_178_2,How good an example of an odd number is the number 730?,2,comp_178_3,Bad,2,low,even,sevenhundredthirty
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_58_2,How odd is the number 158?,3,comp_61_3,Very odd,2,low,even,onehundredfiftyeight
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_162_2,How good an example of an odd number is the number 6?,4,comp_162_3,Bad,2,high,even,six
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_106_2,How odd is the number 465?,5,comp_109_3,Very odd,2,low,odd,fourhundredsixtyfive
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_74_2,How odd is the number 7?,6,comp_77_3,Very odd,1,high,odd,seven
sr7,A2IEX1XDY7HX2X,survey1,q_-1_-1,1394479021390,-1,comp_-1_-1,1394479021390,-1,,,
sr7,A2IEX1XDY7HX2X,survey1,q_218_2,How odd is the number 8?,7,comp_218_3,Not very odd,3,high,even,eight
