responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,correlation
sr4,A38GK33NFSSS3Y,survey1,q_369_2,Please say both words aloud. Which one would you say?,6,comp_370_3,probably antenna-thon,2,schwa
sr4,A38GK33NFSSS3Y,survey1,q_101_2,Please say both words aloud. Which one would you say?,7,comp_101_3,definitely drama-licious,0,schwa
sr4,A38GK33NFSSS3Y,survey1,q_357_2,Please say both words aloud. Which one would you say?,8,comp_359_3,probably valentine-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_217_2,Please say both words aloud. Which one would you say?,9,comp_219_3,probably champagne-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_337_2,Please say both words aloud. Which one would you say?,10,comp_338_3,probably opinion-thon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_297_2,Please say both words aloud. Which one would you say?,11,comp_299_3,probably anesthetic-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_249_2,Please say both words aloud. Which one would you say?,12,comp_251_3,probably decade-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_261_2,Please say both words aloud. Which one would you say?,13,comp_264_3,definitely office-athon,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_17_2,Please say both words aloud. Which one would you say?,14,comp_19_3,probably berlin-alicious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_189_2,Please say both words aloud. Which one would you say?,15,comp_190_3,probably placebo-licious,2,vowel
sr4,A38GK33NFSSS3Y,survey1,q_365_2,Please say both words aloud. Which one would you say?,16,comp_367_3,probably antidote-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_165_2,Please say both words aloud. Which one would you say?,17,comp_167_3,probably valentine-alicious,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_117_2,Please say both words aloud. Which one would you say?,18,comp_118_3,probably meditation-licious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_37_2,Please say both words aloud. Which one would you say?,19,comp_40_3,definitely grenade-alicious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_149_2,Please say both words aloud. Which one would you say?,20,comp_150_3,probably asylum-licious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_169_2,Please say both words aloud. Which one would you say?,21,comp_172_3,definitely nicotine-alicious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_225_2,Please say both words aloud. Which one would you say?,22,comp_228_3,definitely estate-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_329_2,Please say both words aloud. Which one would you say?,23,comp_330_3,probably commandment-thon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_209_2,Please say both words aloud. Which one would you say?,24,comp_212_3,definitely berlin-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_81_2,Please say both words aloud. Which one would you say?,25,comp_81_3,definitely chili-licious,3,vowel
sr4,A38GK33NFSSS3Y,survey1,q_313_2,Please say both words aloud. Which one would you say?,26,comp_315_3,probably penicillin-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_305_2,Please say both words aloud. Which one would you say?,27,comp_307_3,probably orthodonist-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_285_2,Please say both words aloud. Which one would you say?,28,comp_285_3,definitely china-thon,3,schwa
sr4,A38GK33NFSSS3Y,survey1,q_277_2,Please say both words aloud. Which one would you say?,29,comp_278_3,probably mayo-thon,2,vowel
sr4,A38GK33NFSSS3Y,survey1,q_269_2,Please say both words aloud. Which one would you say?,30,comp_271_3,probably omelet-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_265_2,Please say both words aloud. Which one would you say?,31,comp_267_3,probably patrick-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_317_2,Please say both words aloud. Which one would you say?,32,comp_319_3,probably coliseum-athon,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_157_2,Please say both words aloud. Which one would you say?,33,comp_160_3,definitely universe-alicious,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_333_2,Please say both words aloud. Which one would you say?,34,comp_336_3,definitely eleven-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_233_2,Please say both words aloud. Which one would you say?,35,comp_236_3,definitely balloon-athon,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_173_2,Please say both words aloud. Which one would you say?,36,comp_173_3,definitely antidote-licious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_137_2,Please say both words aloud. Which one would you say?,37,comp_138_3,probably commandment-licious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_245_2,Please say both words aloud. Which one would you say?,38,comp_248_3,definitely marine-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_153_2,Please say both words aloud. Which one would you say?,39,comp_156_3,definitely silverware-alicious,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_109_2,Please say both words aloud. Which one would you say?,40,comp_110_3,probably affidavit-licious,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_197_2,Please say both words aloud. Which one would you say?,41,comp_197_3,definitely miami-licious,0,vowel
sr4,A38GK33NFSSS3Y,survey1,q_113_2,Please say both words aloud. Which one would you say?,42,comp_115_3,probably orthodonist-alicious,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_385_2,Please say both words aloud. Which one would you say?,43,comp_385_3,definitely spaghetti-thon,3,vowel
sr4,A38GK33NFSSS3Y,survey1,q_229_2,Please say both words aloud. Which one would you say?,44,comp_232_3,definitely grenade-athon,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_237_2,Please say both words aloud. Which one would you say?,45,comp_240_3,definitely japan-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_221_2,Please say both words aloud. Which one would you say?,46,comp_224_3,definitely cayenne-athon,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_21_2,Please say both words aloud. Which one would you say?,47,comp_22_3,probably typhoon-licious,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_145_2,Please say both words aloud. Which one would you say?,48,comp_148_3,definitely opinion-alicious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_105_2,Please say both words aloud. Which one would you say?,49,comp_107_3,probably anesthetic-alicious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_97_2,Please say both words aloud. Which one would you say?,50,comp_97_3,definitely cuba-licious,0,schwa
sr4,A38GK33NFSSS3Y,survey1,q_309_2,Please say both words aloud. Which one would you say?,51,comp_311_3,probably meditation-athon,1,consonant
sr4,A38GK33NFSSS3Y,survey1,q_73_2,Please say both words aloud. Which one would you say?,52,comp_76_3,definitely patrick-alicious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_13_2,Please say both words aloud. Which one would you say?,53,comp_15_3,probably stampede-alicious,2,consonant
sr4,A38GK33NFSSS3Y,survey1,q_301_2,Please say both words aloud. Which one would you say?,54,comp_304_3,definitely affidavit-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_273_2,Please say both words aloud. Which one would you say?,55,comp_273_3,definitely chili-thon,0,vowel
sr4,A38GK33NFSSS3Y,survey1,q_53_2,Please say both words aloud. Which one would you say?,56,comp_56_3,definitely marine-alicious,0,consonant
sr4,A38GK33NFSSS3Y,survey1,q_321_2,Please say both words aloud. Which one would you say?,57,comp_324_3,definitely ceramic-athon,3,consonant
sr4,A38GK33NFSSS3Y,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr5,A2IORQMTZHENL6,survey1,q_-1_-1,na,-1,comp_-1_-1,na,-1,
sr5,A2IORQMTZHENL6,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,0,
sr5,A2IORQMTZHENL6,survey1,q_2_2,What is your age?,1,comp_5_3,46-65,3,
sr5,A2IORQMTZHENL6,survey1,q_349_2,Please say both words aloud. Which one would you say?,2,comp_352_3,definitely universe-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_341_2,Please say both words aloud. Which one would you say?,3,comp_344_3,definitely asylum-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_265_2,Please say both words aloud. Which one would you say?,4,comp_268_3,definitely patrick-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_241_2,Please say both words aloud. Which one would you say?,5,comp_244_3,definitely cologne-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_257_2,Please say both words aloud. Which one would you say?,6,comp_260_3,definitely magic-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_357_2,Please say both words aloud. Which one would you say?,7,comp_360_3,definitely valentine-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_121_2,Please say both words aloud. Which one would you say?,8,comp_124_3,definitely penicillin-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_153_2,Please say both words aloud. Which one would you say?,9,comp_156_3,definitely silverware-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_37_2,Please say both words aloud. Which one would you say?,10,comp_40_3,definitely grenade-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_313_2,Please say both words aloud. Which one would you say?,11,comp_316_3,definitely penicillin-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_205_2,Please say both words aloud. Which one would you say?,12,comp_208_3,definitely stampede-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_225_2,Please say both words aloud. Which one would you say?,13,comp_228_3,definitely estate-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_149_2,Please say both words aloud. Which one would you say?,14,comp_152_3,definitely asylum-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_277_2,Please say both words aloud. Which one would you say?,15,comp_280_3,definitely mayo-athon,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_317_2,Please say both words aloud. Which one would you say?,16,comp_320_3,definitely coliseum-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_17_2,Please say both words aloud. Which one would you say?,17,comp_20_3,definitely berlin-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_165_2,Please say both words aloud. Which one would you say?,18,comp_168_3,definitely valentine-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_105_2,Please say both words aloud. Which one would you say?,19,comp_108_3,definitely anesthetic-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_249_2,Please say both words aloud. Which one would you say?,20,comp_252_3,definitely decade-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_301_2,Please say both words aloud. Which one would you say?,21,comp_304_3,definitely affidavit-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_141_2,Please say both words aloud. Which one would you say?,22,comp_144_3,definitely eleven-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_53_2,Please say both words aloud. Which one would you say?,23,comp_56_3,definitely marine-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_381_2,Please say both words aloud. Which one would you say?,24,comp_384_3,definitely placebo-athon,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_133_2,Please say both words aloud. Which one would you say?,25,comp_136_3,definitely detective-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_177_2,Please say both words aloud. Which one would you say?,26,comp_180_3,definitely antenna-alicious,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_157_2,Please say both words aloud. Which one would you say?,27,comp_160_3,definitely universe-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_333_2,Please say both words aloud. Which one would you say?,28,comp_336_3,definitely eleven-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_245_2,Please say both words aloud. Which one would you say?,29,comp_248_3,definitely marine-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_125_2,Please say both words aloud. Which one would you say?,30,comp_128_3,definitely coliseum-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_213_2,Please say both words aloud. Which one would you say?,31,comp_216_3,definitely typhoon-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_73_2,Please say both words aloud. Which one would you say?,32,comp_76_3,definitely patrick-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_193_2,Please say both words aloud. Which one would you say?,33,comp_196_3,definitely spaghetti-alicious,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_13_2,Please say both words aloud. Which one would you say?,34,comp_16_3,definitely stampede-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_217_2,Please say both words aloud. Which one would you say?,35,comp_220_3,definitely champagne-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_269_2,Please say both words aloud. Which one would you say?,36,comp_272_3,definitely omelet-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_97_2,Please say both words aloud. Which one would you say?,37,comp_97_3,definitely cuba-licious,0,schwa
sr5,A2IORQMTZHENL6,survey1,q_25_2,Please say both words aloud. Which one would you say?,38,comp_28_3,definitely champagne-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_89_2,Please say both words aloud. Which one would you say?,39,comp_92_3,definitely hero-alicious,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_369_2,Please say both words aloud. Which one would you say?,40,comp_369_3,definitely antenna-thon,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_21_2,Please say both words aloud. Which one would you say?,41,comp_24_3,definitely typhoon-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_289_2,Please say both words aloud. Which one would you say?,42,comp_289_3,definitely cuba-thon,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_201_2,Please say both words aloud. Which one would you say?,43,comp_204_3,definitely corvette-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_69_2,Please say both words aloud. Which one would you say?,44,comp_72_3,definitely office-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_189_2,Please say both words aloud. Which one would you say?,45,comp_192_3,definitely placebo-alicious,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_321_2,Please say both words aloud. Which one would you say?,46,comp_324_3,definitely ceramic-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_145_2,Please say both words aloud. Which one would you say?,47,comp_148_3,definitely opinion-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_81_2,Please say both words aloud. Which one would you say?,48,comp_81_3,definitely chili-licious,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_137_2,Please say both words aloud. Which one would you say?,49,comp_140_3,definitely commandment-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_237_2,Please say both words aloud. Which one would you say?,50,comp_240_3,definitely japan-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_297_2,Please say both words aloud. Which one would you say?,51,comp_300_3,definitely anesthetic-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_29_2,Please say both words aloud. Which one would you say?,52,comp_32_3,definitely cayenne-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_325_2,Please say both words aloud. Which one would you say?,53,comp_328_3,definitely detective-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_285_2,Please say both words aloud. Which one would you say?,54,comp_285_3,definitely china-thon,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_77_2,Please say both words aloud. Which one would you say?,55,comp_80_3,definitely omelet-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_161_2,Please say both words aloud. Which one would you say?,56,comp_164_3,definitely hurricane-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_365_2,Please say both words aloud. Which one would you say?,57,comp_368_3,definitely antidote-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_85_2,Please say both words aloud. Which one would you say?,58,comp_88_3,definitely mayo-alicious,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_169_2,Please say both words aloud. Which one would you say?,59,comp_172_3,definitely nicotine-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_57_2,Please say both words aloud. Which one would you say?,60,comp_60_3,definitely decade-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_209_2,Please say both words aloud. Which one would you say?,61,comp_212_3,definitely berlin-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_229_2,Please say both words aloud. Which one would you say?,62,comp_232_3,definitely grenade-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_93_2,Please say both words aloud. Which one would you say?,63,comp_93_3,definitely china-licious,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_221_2,Please say both words aloud. Which one would you say?,64,comp_224_3,definitely cayenne-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_385_2,Please say both words aloud. Which one would you say?,65,comp_388_3,definitely spaghetti-athon,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_329_2,Please say both words aloud. Which one would you say?,66,comp_332_3,definitely commandment-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_305_2,Please say both words aloud. Which one would you say?,67,comp_308_3,definitely orthodonist-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_113_2,Please say both words aloud. Which one would you say?,68,comp_116_3,definitely orthodonist-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_173_2,Please say both words aloud. Which one would you say?,69,comp_176_3,definitely antidote-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_197_2,Please say both words aloud. Which one would you say?,70,comp_197_3,definitely miami-licious,0,vowel
sr5,A2IORQMTZHENL6,survey1,q_273_2,Please say both words aloud. Which one would you say?,71,comp_276_3,definitely chili-athon,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_117_2,Please say both words aloud. Which one would you say?,72,comp_120_3,definitely meditation-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_101_2,Please say both words aloud. Which one would you say?,73,comp_101_3,definitely drama-licious,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_337_2,Please say both words aloud. Which one would you say?,74,comp_340_3,definitely opinion-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_33_2,Please say both words aloud. Which one would you say?,75,comp_36_3,definitely estate-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_377_2,Please say both words aloud. Which one would you say?,76,comp_377_3,definitely korea-thon,0,schwa
sr5,A2IORQMTZHENL6,survey1,q_181_2,Please say both words aloud. Which one would you say?,77,comp_181_3,definitely banana-licious,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_293_2,Please say both words aloud. Which one would you say?,78,comp_293_3,definitely drama-thon,3,schwa
sr5,A2IORQMTZHENL6,survey1,q_61_2,Please say both words aloud. Which one would you say?,79,comp_64_3,definitely secret-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_261_2,Please say both words aloud. Which one would you say?,80,comp_264_3,definitely office-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_41_2,Please say both words aloud. Which one would you say?,81,comp_44_3,definitely balloon-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_109_2,Please say both words aloud. Which one would you say?,82,comp_112_3,definitely affidavit-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_345_2,Please say both words aloud. Which one would you say?,83,comp_348_3,definitely silverware-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_309_2,Please say both words aloud. Which one would you say?,84,comp_312_3,definitely meditation-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_9_2,Please say both words aloud. Which one would you say?,85,comp_12_3,definitely corvette-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_253_2,Please say both words aloud. Which one would you say?,86,comp_256_3,definitely secret-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_361_2,Please say both words aloud. Which one would you say?,87,comp_364_3,definitely nicotine-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_45_2,Please say both words aloud. Which one would you say?,88,comp_48_3,definitely japan-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_389_2,Please say both words aloud. Which one would you say?,89,comp_392_3,definitely miami-athon,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_185_2,Please say both words aloud. Which one would you say?,90,comp_185_3,definitely korea-licious,0,schwa
sr5,A2IORQMTZHENL6,survey1,q_373_2,Please say both words aloud. Which one would you say?,91,comp_373_3,definitely banana-thon,0,schwa
sr5,A2IORQMTZHENL6,survey1,q_129_2,Please say both words aloud. Which one would you say?,92,comp_132_3,definitely ceramic-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_281_2,Please say both words aloud. Which one would you say?,93,comp_284_3,definitely hero-athon,3,vowel
sr5,A2IORQMTZHENL6,survey1,q_233_2,Please say both words aloud. Which one would you say?,94,comp_236_3,definitely balloon-athon,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_49_2,Please say both words aloud. Which one would you say?,95,comp_52_3,definitely cologne-alicious,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_353_2,Please say both words aloud. Which one would you say?,96,comp_356_3,definitely hurricane-athon,3,consonant
sr5,A2IORQMTZHENL6,survey1,q_65_2,Please say both words aloud. Which one would you say?,97,comp_68_3,definitely magic-alicious,0,consonant
sr5,A2IORQMTZHENL6,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr6,A2PXJTMWGUE5DC,survey1,q_-1_-1,thanks!,-1,comp_-1_-1,thanks!,-1,
sr6,A2PXJTMWGUE5DC,survey1,q_2_2,What is your age?,0,comp_5_3,46-65,1,
sr6,A2PXJTMWGUE5DC,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,1,
sr6,A2PXJTMWGUE5DC,survey1,q_161_2,Please say both words aloud. Which one would you say?,2,comp_164_3,definitely hurricane-alicious,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_197_2,Please say both words aloud. Which one would you say?,3,comp_200_3,definitely miami-alicious,3,vowel
sr6,A2PXJTMWGUE5DC,survey1,q_193_2,Please say both words aloud. Which one would you say?,4,comp_196_3,definitely spaghetti-alicious,0,vowel
sr6,A2PXJTMWGUE5DC,survey1,q_269_2,Please say both words aloud. Which one would you say?,5,comp_272_3,definitely omelet-athon,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_257_2,Please say both words aloud. Which one would you say?,6,comp_260_3,definitely magic-athon,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_137_2,Please say both words aloud. Which one would you say?,7,comp_140_3,definitely commandment-alicious,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_345_2,Please say both words aloud. Which one would you say?,8,comp_348_3,definitely silverware-athon,3,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_285_2,Please say both words aloud. Which one would you say?,9,comp_285_3,definitely china-thon,0,schwa
sr6,A2PXJTMWGUE5DC,survey1,q_85_2,Please say both words aloud. Which one would you say?,10,comp_88_3,definitely mayo-alicious,0,vowel
sr6,A2PXJTMWGUE5DC,survey1,q_205_2,Please say both words aloud. Which one would you say?,11,comp_208_3,definitely stampede-athon,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_157_2,Please say both words aloud. Which one would you say?,12,comp_160_3,definitely universe-alicious,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_221_2,Please say both words aloud. Which one would you say?,13,comp_224_3,definitely cayenne-athon,3,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_353_2,Please say both words aloud. Which one would you say?,14,comp_356_3,definitely hurricane-athon,3,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_169_2,Please say both words aloud. Which one would you say?,15,comp_172_3,definitely nicotine-alicious,0,consonant
sr6,A2PXJTMWGUE5DC,survey1,q_77_2,Please say both words aloud. Which one would you say?,16,comp_80_3,definitely omelet-alicious,0,consonant
